"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8568","Account Registration","chromium","2026-04-25","passed","2026-04-25","","accountregistartion.spec.ts","",""
"","10286","Login with valid credentials","chromium","2026-04-25","passed","2026-04-25","","login.spec.ts","",""
